,count,mean,std,min,25%,50%,75%,max,mineral
MassWater,34289.0,0.0696996578647963,0.02983440566086917,0.002026537,0.04452169,0.06985346,0.0947464,0.1373174,no Portlandite
Ca_aq,34289.0,4.456386187278719e-05,6.363670987352861e-05,2.692087e-06,1.319657e-05,2.216229e-05,4.618222e-05,0.0007242634,no Portlandite
Si_aq,34289.0,0.00022461100491155792,0.00038445704176250935,8.274371e-08,1.019958e-05,3.100958e-05,0.0002517728,0.00211937,no Portlandite
Al_aq,34289.0,5.457655786741637e-05,5.07113779096745e-05,7.453434e-08,8.856606e-06,4.480763e-05,8.071527e-05,0.0002976354,no Portlandite
S_aq,34289.0,0.0012061996425839162,0.0019957536180741737,2.99498e-07,6.458002e-05,0.0002724803,0.001269365,0.01186176,no Portlandite
K_aq,34289.0,0.006808785509842807,0.0035751833632614574,0.0002902972,0.004253033,0.006172111,0.008569249,0.0235802,no Portlandite
C_aq,34289.0,1.999950285520431e-05,2.0906758359053603e-05,1.865307e-10,3.812915e-06,1.049806e-05,3.232708e-05,0.0001258835,no Portlandite
O_aq,34289.0,0.009807302562028638,0.0076764292059576765,0.0003042191,0.005220506,0.00753694,0.0109027,0.04890236,no Portlandite
H_aq,34289.0,0.0043333205015141886,0.002997873174501925,5.398413e-05,0.001734247,0.003749332,0.006336386,0.01748083,no Portlandite
Ca_s,34289.0,1.1154520022572838,0.13883835382337434,0.8996288,0.9952862,1.100713,1.226859,1.39999,no Portlandite
Si_s,34289.0,0.46994679840181985,0.08347192727400131,0.2995695,0.4035537,0.4785503,0.5421269,0.5999908,no Portlandite
Al_s,34289.0,0.10137523406194407,0.023057568950524597,0.05982612,0.08160831,0.1021964,0.1213727,0.1399906,no Portlandite
S_s,34289.0,0.03388755883519497,0.008792198951746199,0.01066541,0.026483,0.03385812,0.04127882,0.0499854,no Portlandite
K_s,34289.0,0.011191198427947333,0.0038222327801620687,0.0,0.008836655,0.01122095,0.01375739,0.02210539,no Portlandite
C_s,34289.0,0.494258032855318,0.19989240787767446,0.001045979,0.3478118,0.5184294,0.6625144,0.7999656,no Portlandite
O_s,34289.0,5.01358489582665,0.4774015284899673,3.744052,4.653906,4.98561,5.366186,6.461669,no Portlandite
H_s,34289.0,3.4208042052844934,0.7181736668368073,1.05614,2.958873,3.461641,3.929557,5.593786,no Portlandite
Portlandite,34289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no Portlandite
AmorfSi,34289.0,0.005224031409528129,0.028460153836767303,0.0,0.0,0.0,0.0,0.4127303,no Portlandite
Gibbsite,34289.0,0.015744622267835334,0.03450958904435692,0.0,0.0,0.0,0.0,0.1399546,no Portlandite
Katoite,34289.0,4.6643465940464875e-06,0.0002689535473269031,0.0,0.0,0.0,0.0,0.03036522,no Portlandite
Monosulfate,34289.0,0.00016704704653148532,0.002151973427985446,0.0,0.0,0.0,0.0,0.04760931,no Portlandite
Gypsum,34289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no Portlandite
Ettringite,34289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no Portlandite
Straetlingite,34289.0,0.02053030441161593,0.022701806230841937,0.0,0.0,0.01056107,0.04022898,0.0699747,no Portlandite
Chabazite,34289.0,0.003972089567734259,0.012553088221372698,0.0,0.0,0.0,0.0,0.06997472,no Portlandite
Calcite,34289.0,0.46390298611512976,0.2015818283849311,0.0,0.3171093,0.4889984,0.6331278,0.795973,no Portlandite
Hemicarbonate,34289.0,8.537182857971944e-05,0.0015216587551893188,0.0,0.0,0.0,0.0,0.05248984,no Portlandite
Monocarbonate,34289.0,8.537182857971944e-05,0.0015216587551893188,0.0,0.0,0.0,0.0,0.05248984,no Portlandite
Thaumasite,34289.0,0.0168382517144872,0.01726513334971822,0.0,0.0,0.01702266,0.03265423,0.04974235,no Portlandite
mETss,34289.0,0.007662716205000795,0.00818190053230437,0.0,0.0,0.003755641,0.01526321,0.02284897,no Portlandite
Al_ET_ss,34289.0,0.012300541309453987,0.01313589326736664,0.0,0.0,0.006010897,0.02449358,0.03670131,no Portlandite
Ca_ET_ss,34289.0,0.036901622030864056,0.03940767774066552,0.0,0.0,0.01803269,0.07348074,0.1101039,no Portlandite
S_ET_ss,34289.0,0.016882260076666364,0.017998987957772716,0.0,0.0,0.008594791,0.03357637,0.0499854,no Portlandite
C_ET_ss,34289.0,0.0015685509502103353,0.0017498408295805081,0.0,0.0,0.0003387536,0.003152675,0.005109225,no Portlandite
H2O_ET_ss,34289.0,0.19680865179461265,0.2101742824684535,0.0,0.0,0.09617435,0.3918973,0.5872209,no Portlandite
mCSHQ,34289.0,0.06811511881608391,0.021372102871187286,0.0,0.05497965,0.06839113,0.0823257,0.1212143,no Portlandite
